character,pinyin,english
你,nǐ,You
好,hǎo,Good
我,wǒ,I
是,shì,to be
呢,ne,Question Particle
老师,lǎoshī,Teacher
不,bù,"no, not"
高,gāo,high; tall
贵,guì,honorable; expensive 
叫,jiào,to call
请,qǐng,please (polite form of request); to treat or to invite (somebody) 
问,wèn,to ask (a question) 
学 生,xuésheng,student
朋友,péng yǒu,Friend ; someone’s name
王,wáng,a surname; king
李,Lǐ,a surname; plum
姓,xìng,(one’s) surname is.;  to be surnamed
什么,shénme,what
名字,míngzi,name 
吗 ,ma,Question Particle
也,yě,"too, also"
很,hěn,Very
谢谢,xiè xie,Thank you
学生,xué sheng,student
美国 ,Měiguó,America
人,rén,people; person
中国,Zhōngguó,China
不是,bú shì,be not
家 ,jiā,family; home 
有,yǒu,have 
没有,méiyǒu,not have
几,jǐ,how many
口,kǒu,measure word for number of family members 
个,gè,measure word for many common everyday objects
爸爸,bàba,father
妈妈,māma,mother
和,hé,and 
姐姐,jiějie,older sister
做,zuò,To do 
工作,gōngzuò,job; to work
都,dōu ,both; all
她,tā,she
一,yī,one
二,èr,two
三,sān,three
四,sì,four
五 ,wǔ,five
六,liù,six
七,qī ,seven
八,bā,eight
九,jiǔ,nine
十,shí,ten
那,nà,that
这,Zhè,this
的,de,a possessive or descriptive particle
照片,zhàopiàn,picture; photo
谁,Shéi,who
弟弟,dìdi,younger brother
他,tā,He
哥哥,gēge,older brother
哪个,nǎ ge,which
哪儿,nǎ er,where
